Rosenbrock part
iter = 1 	 x = 0 	 y = 0 
iter = 42 	 E = -1.20748 	  M(E) = 4275.29 
iter = 43 	 E = -1.09095 	  M(E) = 2051.51 
iter = 44 	 E = -0.983443 	  M(E) = 979.443 
iter = 45 	 E = -0.885227 	  M(E) = 464.447 
iter = 46 	 E = -0.796651 	  M(E) = 218.147 
iter = 47 	 E = -0.718201 	  M(E) = 101.014 
iter = 48 	 E = -0.650545 	  M(E) = 45.7244 
iter = 49 	 E = -0.594595 	  M(E) = 19.9021 
iter = 50 	 E = -0.551471 	  M(E) = 8.05203 
iter = 51 	 E = -0.52217 	  M(E) = 2.81531 
iter = 52 	 E = -0.506417 	  M(E) = 0.728114 
iter = 53 	 E = -0.500921 	  M(E) = 0.10269 
iter = 54 	 E = -0.500019 	  M(E) = 0.00473858 
iter = 55 	 E = -0.499975 	  M(E) = 3.32189e-05 
iter = 56 	 E = -0.499975 	  M(E) = 1.08658e-08 
iter = 57 	 E = -0.499975 	  M(E) = 1.25344e-13 
status = success
So the solution for rmax = 8 is E=-0.499975
